doi,url
10.3390/pharmaceutics17080950,https://www.mdpi.com/1999-4923/17/8/950
10.1007/978-1-0716-4742-4_16,https://link.springer.com/protocol/10.1007/978-1-0716-4742-4_16
10.1007/978-1-0716-4742-4_4,https://link.springer.com/protocol/10.1007/978-1-0716-4742-4_4
10.1007/978-1-0716-4742-4_1,https://link.springer.com/protocol/10.1007/978-1-0716-4742-4_1
10.1039/d5tb01217a,https://pubs.rsc.org/en/content/articlelanding/2025/tb/d5tb01217a
10.1021/jacs.5c08715,https://pubs.acs.org/doi/10.1021/jacs.5c08715
10.1016/j.colsurfb.2025.115058,https://linkinghub.elsevier.com/retrieve/pii/S092777652500565X
10.1016/j.jconrel.2025.114141,https://linkinghub.elsevier.com/retrieve/pii/S0168365925007527
10.1021/acsnano.5c07748,https://pubs.acs.org/doi/10.1021/acsnano.5c07748
10.1038/s41467-025-63037-6,https://www.nature.com/articles/s41467-025-63037-6
10.1016/j.jconrel.2025.114126,https://linkinghub.elsevier.com/retrieve/pii/S0168365925007370
10.1038/s41565-025-01975-4,https://www.nature.com/articles/s41565-025-01975-4
10.1021/jacs.5c07897,https://pubs.acs.org/doi/10.1021/jacs.5c07897
10.1126/sciadv.adw0730,https://www.science.org/doi/10.1126/sciadv.adw0730
10.1039/d5bm00839e,https://pubs.rsc.org/en/content/articlelanding/2025/bm/d5bm00839e
10.1186/s12967-025-06924-2,https://link.springer.com/article/10.1186/s12967-025-06924-2
10.1038/s41565-025-01974-5,https://www.nature.com/articles/s41565-025-01974-5
10.1016/j.ejpb.2025.114819,https://linkinghub.elsevier.com/retrieve/pii/S0939641125001961
10.1101/2025.07.22.666181,https://www.biorxiv.org/lookup/doi/10.1101/2025.07.22.666181
10.1002/advs.202509208,https://advanced.onlinelibrary.wiley.com/doi/10.1002/advs.202509208
10.1101/2025.07.31.667476,https://www.biorxiv.org/lookup/doi/10.1101/2025.07.31.667476
10.1021/acsnano.5c07140,https://pubs.acs.org/doi/10.1021/acsnano.5c07140
10.1161/CIRCRESAHA.125.326716,https://www.ahajournals.org/doi/10.1161/CIRCRESAHA.125.326716
10.2147/IJN.S527822,https://www.dovepress.com/lipid-nanoparticles-formulated-with-a-novel-cholesterol-tailed-ionizab-peer-reviewed-fulltext-article-IJN
10.1016/j.biomaterials.2025.123589,https://linkinghub.elsevier.com/retrieve/pii/S0142961225005083
10.1038/s41563-025-02284-w,https://www.nature.com/articles/s41563-025-02284-w
10.1021/jacs.5c08345,https://pubs.acs.org/doi/10.1021/jacs.5c08345
10.1038/s41551-025-01486-6,https://www.nature.com/articles/s41551-025-01486-6
10.1016/j.mtbio.2025.102107,https://linkinghub.elsevier.com/retrieve/pii/S2590006425006775
10.1021/cbe.5c00031,https://pubs.acs.org/doi/10.1021/cbe.5c00031
10.3390/pharmaceutics17070803,https://www.mdpi.com/1999-4923/17/7/803
10.1021/acs.molpharmaceut.5c00272,https://pubs.acs.org/doi/10.1021/acs.molpharmaceut.5c00272
10.1002/smll.202503034,https://onlinelibrary.wiley.com/doi/10.1002/smll.202503034
10.1016/j.ymthe.2025.07.031,https://linkinghub.elsevier.com/retrieve/pii/S1525001625005672
10.1016/j.ijbiomac.2025.146217,https://linkinghub.elsevier.com/retrieve/pii/S0141813025067741
10.1016/j.jconrel.2025.114061,https://linkinghub.elsevier.com/retrieve/pii/S0168365925006832
10.1016/j.jconrel.2025.114055,https://linkinghub.elsevier.com/retrieve/pii/S0168365925006777
10.1021/acsnano.5c10648,https://pubs.acs.org/doi/10.1021/acsnano.5c10648
10.1182/blood.2025028597,https://ashpublications.org/blood/article/146/19/2322/546316/A-BCMA-mRNA-vaccine-is-a-promising-therapeutic-for
10.1016/j.jconrel.2025.114056,https://linkinghub.elsevier.com/retrieve/pii/S0168365925006789
10.1021/jacs.5c05367,https://pubs.acs.org/doi/10.1021/jacs.5c05367
10.1021/jacs.5c09030,https://pubs.acs.org/doi/10.1021/jacs.5c09030
10.1038/s41551-025-01422-8,https://www.nature.com/articles/s41551-025-01422-8
10.1039/d5md00084j,https://pubs.rsc.org/en/content/articlelanding/2025/md/d5md00084j
10.1186/s40580-025-00502-4,https://link.springer.com/article/10.1186/s40580-025-00502-4
10.1038/s41467-025-61688-z,https://www.nature.com/articles/s41467-025-61688-z
10.1016/j.jconrel.2025.114027,https://linkinghub.elsevier.com/retrieve/pii/S0168365925006480
10.1016/j.bioactmat.2025.06.009,https://linkinghub.elsevier.com/retrieve/pii/S2452199X25002385
10.1016/j.apsb.2025.04.003,https://linkinghub.elsevier.com/retrieve/pii/S2211383525002242
10.1126/sciadv.adj0006,https://www.science.org/doi/10.1126/sciadv.adj0006
10.1021/acsbiomaterials.5c00463,https://pubs.acs.org/doi/10.1021/acsbiomaterials.5c00463
10.1021/acs.molpharmaceut.5c00403,https://pubs.acs.org/doi/10.1021/acs.molpharmaceut.5c00403
10.1016/j.jconrel.2025.114018,https://linkinghub.elsevier.com/retrieve/pii/S016836592500639X
10.1007/s11095-025-03890-8,https://link.springer.com/article/10.1007/s11095-025-03890-8
10.1039/d5bm00738k,https://pubs.rsc.org/en/content/articlelanding/2025/bm/d5bm00738k
10.1016/j.ijpharm.2025.125941,https://linkinghub.elsevier.com/retrieve/pii/S0378517325007781
10.1016/j.jcis.2025.138290,https://linkinghub.elsevier.com/retrieve/pii/S0021979725016819
